City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
298,krasnoarmeysk,44.9444,-93.0933,50.29,68,0,14.97,US,1731017852
299,esperantinopolis,51.0239,45.6969,32.77,97,100,7.92,RU,1731017853
300,alice springs,-4.8667,-44.7083,83.43,56,100,1.5,BR,1731017854
301,port hedland,-23.7,133.8833,76.55,53,1,0.0,AU,1731017855
302,tczew,-20.3167,118.5667,84.25,79,78,11.5,AU,1731017856
303,juneau,54.0924,18.7779,45.0,89,100,1.97,PL,1731017857
304,grand rapids,58.3019,-134.4197,38.41,97,75,3.44,US,1731017859
305,muswellbrook,42.9634,-85.6681,52.18,76,20,10.36,US,1731017810
306,santa ana de yacuma,-32.2667,150.9,74.89,43,4,7.54,AU,1731017861
307,orapa,-13.75,-65.4333,82.35,83,75,3.44,BO,1731017862
308,aqadyr,-21.2833,25.3667,69.85,70,90,17.25,BW,1731017863
309,luderitz,48.2553,72.8483,22.98,76,53,10.27,KZ,1731017864
310,kletskaya,-26.6481,15.1594,59.07,76,16,6.22,NA,1731017865
311,chimoio,49.3145,43.0584,41.61,84,73,4.99,RU,1731017866
312,thinadhoo,-19.1164,33.4833,68.22,88,73,7.58,MZ,1731017867
313,pasni,0.5333,72.9333,82.78,72,53,13.51,MV,1731017869
314,la ronge,25.2631,63.471,79.03,77,0,10.69,PK,1731017870
315,riolandia,55.1001,-105.2842,41.25,65,40,14.97,CA,1731017871
316,chonchi,-19.9808,-49.6819,72.64,89,99,4.52,BR,1731017872
317,merke,-42.6128,-73.8092,56.12,83,95,4.47,CL,1731017873
318,rock springs,42.8728,73.1786,33.66,78,67,1.74,KZ,1731017874
319,bandon,41.5875,-109.2029,37.24,37,0,9.22,US,1731017875
320,fushun,51.7469,-8.7425,54.99,97,100,13.82,IE,1731017877
321,antofagasta,41.8558,123.9233,39.94,86,10,6.29,CN,1731017878
322,karratha,-23.65,-70.4,63.68,81,8,4.23,CL,1731017704
323,beira,-20.7377,116.8463,82.72,44,26,7.81,AU,1731017880
324,ijuw,-19.8436,34.8389,77.09,83,75,12.68,MZ,1731017881
325,tyukhtet,-22.9661,-42.0278,75.36,83,100,32.75,BR,1731017883
326,zaozersk,56.5389,89.3011,31.06,55,100,16.28,RU,1731017885
327,broken hill,69.4005,32.4476,37.74,91,100,21.68,RU,1731017886
328,feodosiya,-31.95,141.4333,60.17,51,0,14.88,AU,1731017887
329,camana,45.0333,35.3833,49.98,47,9,5.46,UA,1731017888
330,kargasok,-16.6228,-72.7111,66.51,76,26,6.42,PE,1731017889
331,trairi,59.0556,80.8572,25.16,94,100,7.11,RU,1731017890
332,la'ie,-3.2778,-39.2689,77.97,81,69,10.98,BR,1731017891
333,kodinsk,21.6477,-157.9253,80.56,72,70,8.99,US,1731017893
334,antalaha,58.6881,99.1844,22.05,91,97,4.18,RU,1731017894
335,visby,-14.9003,50.2788,70.02,87,1,6.08,MG,1731017895
336,miguel aleman (la doce),57.6409,18.296,34.02,100,4,3.44,SE,1731017896
